,iso,year,gdpPerc
799,SVN,1980,0.09544998516
800,SWE,1980,0.5647209316
801,SWZ,1980,0.007394708201
802,SYC,1980,0.001842487041
803,SYR,1980,0.11391516
804,TCD,1980,0.008707297089
805,TGO,1980,0.01367015184
806,THA,1980,0.4512327624
807,TJK,1980,0.05721647775
808,TKM,1980,0.06660150607
809,TTO,1980,0.04285855223
810,TUN,1980,0.08536896123
811,TUR,1980,0.9150954266
812,TWN,1980,0.3727907348
813,TZA,1980,0.08364270685
814,UGA,1980,0.02968974397
815,UKR,1980,1.617357617
816,URY,1980,0.08177899846
817,USA,1980,18.16108484
818,UZB,1980,0.2309998253
819,VEN,1980,0.7299601872
820,VNM,1980,0.1615829438
821,YEM,1980,0.08925800766
822,ZAF,1980,0.8205466917
823,ZMB,1980,0.04198352977
824,ZWE,1980,0.0411866789
825,AFG,2000,0.02605345139
826,AGO,2000,0.0640560655
827,ALB,2000,0.02545071253
828,ARE,2000,0.5891174834
829,ARG,2000,0.8908399646
830,ARM,2000,0.01716448959
831,AUS,2000,1.169345
832,AUT,2000,0.462476531
833,AZE,2000,0.06078071512
834,BDI,2000,0.007419208303
835,BEL,2000,0.5538847155
836,BEN,2000,0.01794586423
837,BFA,2000,0.01872652869
838,BGD,2000,0.3638188906
839,BGR,2000,0.1098381185
840,BHR,2000,0.04401220912
841,BIH,2000,0.03814487504
842,BLR,2000,0.1269664526
843,BOL,2000,0.05552117946
844,BRA,2000,3.134910696
845,BRB,2000,0.004847357073
846,BWA,2000,0.02681316589
847,CAF,2000,0.006029803259
848,CAN,2000,1.853701921
849,CHE,2000,0.6094956571
850,CHL,2000,0.3427731365
851,CHN,2000,8.344953862
852,CIV,2000,0.07759634632
853,CMR,2000,0.05785956046
854,COD,2000,0.04556584456
855,COG,2000,0.02486069198
856,COL,2000,0.5205085867
857,COM,2000,0.001210150645
858,CPV,2000,0.002967541287
859,CRI,2000,0.0562719269
860,CSK,2000,0.4140484
861,CUB,2000,0.08588248719
862,CYP,2000,0.03179342703
863,CZE,2000,0.3167213753
864,DEU,2000,4.89789397
865,DJI,2000,0.001902522237
866,DMA,2000,0.000796666924
867,DNK,2000,0.3501387823
